rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
51,2015,University of Richmond,48,2.5,3,3.19,3.62,157,163,45.3,77.7,28.57726901,10.9,83.33,77,3.5,161
54,2015,Pepperdine University,47,2.6,3.3,3.27,3.69,154,162,33.3,58.2,51.62150155,13,85.56,66,3.59,160
54,2015,University of California,47,3.1,3.8,3.28,3.69,155,163,30,51.7,40.49188641,15.8,76.37,66,3.52,159
54,2015,University of Connecticut,47,2.8,2.7,3.22,3.64,154,160,41.2,70.4,45.49436796,10.6,86.71,82,3.46,158
54,2015,University of Nebraska - Lincoln,47,2.5,3.1,3.32,3.81,152,159,43.8,82,59.38069217,11.2,92.31,83.15,3.61,156
58,2015,University of Houston,46,2.6,2.8,3.19,3.65,157,162,58.8,75.2,34.07889386,10.8,87.07,82.06,3.42,160
58,2015,University of Kentucky,46,2.5,3.1,3.24,3.75,154,160,52.4,83.7,59.52121872,15,90,82.24,3.49,157
58,2015,University of Oklahoma,46,2.5,3.2,3.24,3.73,155,159,45.2,77.7,40.72110286,12.4,87.16,84.04,3.48,157
61,2015,Temple University,45,2.7,3,3.1,3.61,156,162,35,64.3,44.13343558,11.1,84.14,81.67,3.4,160
61,2015,University of Arkansas - Fayetteville,45,2.3,3,3.29,3.72,152,157,35.6,85.6,50.14925373,12.3,85.71,76.39,3.5,154
